f,scl1,scl2,scl3
0,-0.008580464,-1.00E-04,-0.008580464
0,0.003377928,-1.00E-04,0.003377928
0,0.006977105,-1.00E-04,0.006977105
0,-0.005138227,-1.00E-04,-0.005138227
0,-0.011387577,-1.00E-04,-0.011387577
0,-0.003764588,-1.00E-04,-0.003764588
0,0.001864363,-1.00E-04,0.001864363
0,-2.20E-05,-1.00E-04,-2.20E-05
0,0.002445191,-1.00E-04,0.002445191
0,-0.003540139,-1.00E-04,-0.003540139
0,-0.000886265,-1.00E-04,-0.000886265
0,0.002610154,-1.00E-04,0.002610154
0,0.000860936,-1.00E-04,0.000860936
0,-0.007316908,-1.00E-04,-0.007316908
0,-0.009534859,-1.00E-04,-0.009534859
0,-0.005003248,-1.00E-04,-0.005003248
0,0.006402625,-1.00E-04,0.006402625
0,0.003112328,-1.00E-04,0.003112328
0,0.000821632,-1.00E-04,0.000821632
0,-0.007621446,-1.00E-04,-0.007621446
0,0.010762219,-1.00E-04,0.010762219
0,-0.000646941,-1.00E-04,-0.000646941
0,0.004055707,-1.00E-04,0.004055707
0,-0.005306333,-1.00E-04,-0.005306333
0,-0.007688055,-1.00E-04,-0.007688055
0,-0.005606631,-1.00E-04,-0.005606631
0,-0.001630306,-1.00E-04,-0.001630306
0,0.008118467,-1.00E-04,0.008118467
0,0.01920399,-1.00E-04,0.01920399
0,-0.003763073,-1.00E-04,-0.003763073
0,-0.003231276,-1.00E-04,-0.003231276
0,0.005601113,-1.00E-04,0.005601113
0,0.002130872,-1.00E-04,0.002130872
0,0.001914147,-1.00E-04,0.001914147
0,-0.006278039,-1.00E-04,-0.006278039
0,-0.003041544,-1.00E-04,-0.003041544
0,0.002898157,-1.00E-04,0.002898157
0,-0.000448671,-1.00E-04,-0.000448671
0,-0.002115256,-1.00E-04,-0.002115256
0,0.002005744,-1.00E-04,0.002005744
0,-0.00245612,-1.00E-04,-0.00245612
0,-0.005365789,-1.00E-04,-0.005365789
0,0.003568317,-1.00E-04,0.003568317
0,-0.001532553,-1.00E-04,-0.001532553
0,0.004864756,-1.00E-04,0.004864756
0,-0.006507115,-1.00E-04,-0.006507115
0,0.008114059,-1.00E-04,0.008114059
0,0.004225184,-1.00E-04,0.004225184
0,0.002620965,-1.00E-04,0.002620965
0,-0.013382029,-1.00E-04,-0.013382029
0,-0.00246558,-1.00E-04,-0.00246558
0,0.006107446,-1.00E-04,0.006107446
0,-0.002260329,-1.00E-04,-0.002260329
0,-0.007624893,-1.00E-04,-0.007624893
0,0.00488009,-1.00E-04,0.00488009
0,-0.002982993,-1.00E-04,-0.002982993
0,0.002165777,-1.00E-04,0.002165777
0,0.004787719,-1.00E-04,0.004787719
0,0.001433061,-1.00E-04,0.001433061
0,0.010392782,-1.00E-04,0.010392782
0,0.00047896,-1.00E-04,0.00047896
0,0.003074029,-1.00E-04,0.003074029
0,-0.006264072,-1.00E-04,-0.006264072
0,0.004991887,-1.00E-04,0.004991887
0,0.001466112,-1.00E-04,0.001466112
0,0.000656337,-1.00E-04,0.000656337
0,0.002214937,-1.00E-04,0.002214937
0,0.003785423,-1.00E-04,0.003785423
0,0.002538011,-1.00E-04,0.002538011
0,0.000727736,-1.00E-04,0.000727736
0,-0.001521448,-1.00E-04,-0.001521448
0,-9.92E-05,-1.00E-04,-9.92E-05
0,0.00535142,-1.00E-04,0.00535142
0,0.000627125,-1.00E-04,0.000627125
0,-0.0027432,-1.00E-04,-0.0027432
0,-0.003081968,-1.00E-04,-0.003081968
0,-0.002781629,-1.00E-04,-0.002781629
0,-0.000684019,-1.00E-04,-0.000684019
0,0.002878643,-1.00E-04,0.002878643
0,0.011026555,-1.00E-04,0.011026555
